S	degree	SUPERLATIVE
F	mood	INFINITIVE
FP	gender	FEMININE
FP	number	PLURAL
FP_PP	gender	FEMININE
FP_PP	number	PLURAL
FP_PP	mood	PARTICIPLE
FP_PP	tense	PRESENT
FP_PR	gender	FEMININE
FP_PR	number	PLURAL
FP_PR	mood	PARTICIPLE
FP_PR	tense	PAST
FP1	gender	FEMININE
FP1	number	PLURAL
FP1	person	1
FP2	gender	FEMININE
FP2	number	PLURAL
FP2	person	2
FP3	gender	FEMININE
FP3	number	PLURAL
FP3	person	3
FS	gender	FEMININE
FS	number	SINGULAR
FS_PP	gender	FEMININE
FS_PP	number	SINGULAR
FS_PP	mood	PARTICIPLE
FS_PP	tense	PRESENT
FS_PR	gender	FEMININE
FS_PR	number	SINGULAR
FS_PR	mood	PARTICIPLE
FS_PR	tense	PAST
FS1	gender	FEMININE
FS1	number	SINGULAR
FS1	person	1
FS2	gender	FEMININE
FS2	number	SINGULAR
FS2	person	2
FS3	gender	FEMININE
FS3	number	SINGULAR
FS3	person	3
G	mood	GERUND
MP	gender	MASCULINE
MP	number	PLURAL
MP_PP	gender	MASCULINE
MP_PP	number	PLURAL
MP_PP	mood	PARTICIPLE
MP_PP	tense	PRESENT
MP_PR	gender	MASCULINE
MP_PR	number	PLURAL
MP_PR	mood	PARTICIPLE
MP_PR	tense	PAST
MP1	gender	MASCULINE
MP1	number	PLURAL
MP1	person	1
MP2	gender	MASCULINE
MP2	number	PLURAL
MP2	person	2
MP3	gender	MASCULINE
MP3	number	PLURAL
MP3	person	3
MS	gender	MASCULINE
MS	number	SINGULAR
MS_PP	gender	MASCULINE
MS_PP	number	SINGULAR
MS_PP	mood	PARTICIPLE
MS_PP	tense	PRESENT
MS_PR	gender	MASCULINE
MS_PR	number	SINGULAR
MS_PR	mood	PARTICIPLE
MS_PR	tense	PAST
MS1	gender	MASCULINE
MS1	number	SINGULAR
MS1	person	1
MS2	gender	MASCULINE
MS2	number	SINGULAR
MS2	person	2
MS3	gender	MASCULINE
MS3	number	SINGULAR
MS3	person	3
P1CI	number	PLURAL
P1CI	person	1
P1CI	mood	SUBJUNCTIVE
P1CI	tense	IMPERFECT
P2CI	number	PLURAL
P2CI	person	2
P2CI	mood	SUBJUNCTIVE
P2CI	tense	IMPERFECT
P3CI	number	PLURAL
P3CI	person	3
P3CI	mood	SUBJUNCTIVE
P3CI	tense	IMPERFECT
P1CP	number	PLURAL
P1CP	person	1
P1CP	mood	SUBJUNCTIVE
P1CP	tense	PRESENT
P2CP	number	PLURAL
P2CP	person	2
P2CP	mood	SUBJUNCTIVE
P2CP	tense	PRESENT
P3CP	number	PLURAL
P3CP	person	3
P3CP	mood	SUBJUNCTIVE
P3CP	tense	PRESENT
P1DP	number	PLURAL
P1DP	person	1
P1DP	mood	CONDITIONAL
P1DP	tense	PRESENT
P2DP	number	PLURAL
P2DP	person	2
P2DP	mood	CONDITIONAL
P2DP	tense	PRESENT
P3DP	number	PLURAL
P3DP	person	3
P3DP	mood	CONDITIONAL
P3DP	tense	PRESENT
P1IF	number	PLURAL
P1IF	person	1
P1IF	mood	INDICATIVE
P1IF	tense	FUTURE
P2IF	number	PLURAL
P2IF	person	2
P2IF	mood	INDICATIVE
P2IF	tense	FUTURE
P3IF	number	PLURAL
P3IF	person	3
P3IF	mood	INDICATIVE
P3IF	tense	FUTURE
P1II	number	PLURAL
P1II	person	1
P1II	mood	INDICATIVE
P1II	tense	IMPERFECT
P2II	number	PLURAL
P2II	person	2
P2II	mood	INDICATIVE
P2II	tense	IMPERFECT
P3II	number	PLURAL
P3II	person	3
P3II	mood	INDICATIVE
P3II	tense	IMPERFECT
P1IP	number	PLURAL
P1IP	person	1
P1IP	mood	INDICATIVE
P1IP	tense	PRESENT
P2IP	number	PLURAL
P2IP	person	2
P2IP	mood	INDICATIVE
P2IP	tense	PRESENT
P3IP	number	PLURAL
P3IP	person	3
P3IP	mood	INDICATIVE
P3IP	tense	PRESENT
P1IR	number	PLURAL
P1IR	person	1
P1IR	mood	INDICATIVE
P1IR	tense	PAST
P2IR	number	PLURAL
P2IR	person	2
P2IR	mood	INDICATIVE
P2IR	tense	PAST
P3IR	number	PLURAL
P3IR	person	3
P3IR	mood	INDICATIVE
P3IR	tense	PAST
P2MP	number	PLURAL
P2MP	person	2
P2MP	mood	IMPERATIVE
P2MP	tense	PRESENT
S1CI	number	SINGULAR
S1CI	person	1
S1CI	mood	SUBJUNCTIVE
S1CI	tense	IMPERFECT
S2CI	number	SINGULAR
S2CI	person	2
S2CI	mood	SUBJUNCTIVE
S2CI	tense	IMPERFECT
S3CI	number	SINGULAR
S3CI	person	3
S3CI	mood	SUBJUNCTIVE
S3CI	tense	IMPERFECT
S1CP	number	SINGULAR
S1CP	person	1
S1CP	mood	SUBJUNCTIVE
S1CP	tense	PRESENT
S2CP	number	SINGULAR
S2CP	person	2
S2CP	mood	SUBJUNCTIVE
S2CP	tense	PRESENT
S3CP	number	SINGULAR
S3CP	person	3
S3CP	mood	SUBJUNCTIVE
S3CP	tense	PRESENT
S1DP	number	SINGULAR
S1DP	person	1
S1DP	mood	CONDITIONAL
S1DP	tense	PRESENT
S2DP	number	SINGULAR
S2DP	person	2
S2DP	mood	CONDITIONAL
S2DP	tense	PRESENT
S3DP	number	SINGULAR
S3DP	person	3
S3DP	mood	CONDITIONAL
S3DP	tense	PRESENT
S1IF	number	SINGULAR
S1IF	person	1
S1IF	mood	INDICATIVE
S1IF	tense	FUTURE
S2IF	number	SINGULAR
S2IF	person	2
S2IF	mood	INDICATIVE
S2IF	tense	FUTURE
S3IF	number	SINGULAR
S3IF	person	3
S3IF	mood	INDICATIVE
S3IF	tense	FUTURE
S1II	number	SINGULAR
S1II	person	1
S1II	mood	INDICATIVE
S1II	tense	IMPERFECT
S2II	number	SINGULAR
S2II	person	2
S2II	mood	INDICATIVE
S2II	tense	IMPERFECT
S3II	number	SINGULAR
S3II	person	3
S3II	mood	INDICATIVE
S3II	tense	IMPERFECT
S1IP	number	SINGULAR
S1IP	person	1
S1IP	mood	INDICATIVE
S1IP	tense	PRESENT
S2IP	number	SINGULAR
S2IP	person	2
S2IP	mood	INDICATIVE
